datetime,RCORR_E
2012-03-07 02:32:00,104.46600000000001
2012-03-07 02:33:00,103.921
2012-03-07 02:34:00,110.757
2012-03-07 02:35:00,103.42399999999999
2012-03-07 02:36:00,103.25399999999999
2012-03-07 02:37:00,104.896
2012-03-07 02:38:00,107.054
2012-03-07 02:39:00,104.333
2012-03-07 02:40:00,103.86
2012-03-07 02:41:00,104.695
2012-03-07 02:42:00,103.6
2012-03-07 02:43:00,106.48899999999999
2012-03-07 02:44:00,101.485
2012-03-07 02:45:00,102.59
2012-03-07 02:46:00,106.258
2012-03-07 02:47:00,102.23899999999999
2012-03-07 02:48:00,101.845
2012-03-07 02:49:00,101.029
2012-03-07 02:50:00,108.63600000000001
2012-03-07 02:51:00,104.337
2012-03-07 02:52:00,105.146
2012-03-07 02:53:00,102.75299999999999
2012-03-07 02:54:00,102.654
2012-03-07 02:55:00,108.115
2012-03-07 02:56:00,107.773
2012-03-07 02:57:00,109.20200000000001
2012-03-07 02:58:00,104.81200000000001
2012-03-07 02:59:00,107.025
2012-03-07 03:00:00,109.755
2012-03-07 03:01:00,106.074
2012-03-07 03:02:00,107.34700000000001
2012-03-07 03:03:00,102.331
2012-03-07 03:04:00,104.62899999999999
2012-03-07 03:05:00,102.43299999999999
2012-03-07 03:06:00,106.899
2012-03-07 03:07:00,105.729
2012-03-07 03:08:00,105.124
2012-03-07 03:09:00,106.463
2012-03-07 03:10:00,105.95100000000001
2012-03-07 03:11:00,107.646
2012-03-07 03:12:00,102.321
2012-03-07 03:13:00,106.516
2012-03-07 03:14:00,103.15
2012-03-07 03:15:00,105.479
2012-03-07 03:16:00,101.193
2012-03-07 03:17:00,106.084
2012-03-07 03:18:00,107.405
2012-03-07 03:19:00,104.811
2012-03-07 03:20:00,108.45
2012-03-07 03:21:00,106.15799999999999
2012-03-07 03:22:00,103.155
2012-03-07 03:23:00,103.874
2012-03-07 03:24:00,106.272
2012-03-07 03:25:00,109.41
2012-03-07 03:26:00,102.499
2012-03-07 03:27:00,106.15
2012-03-07 03:28:00,104.65100000000001
2012-03-07 03:29:00,101.946
2012-03-07 03:30:00,105.45700000000001
2012-03-07 03:31:00,107.53299999999999
2012-03-07 03:32:00,106.01799999999999
2012-03-07 03:33:00,104.704
2012-03-07 03:34:00,108.475
2012-03-07 03:35:00,107.32
2012-03-07 03:36:00,105.37299999999999
2012-03-07 03:37:00,104.476
2012-03-07 03:38:00,103.223
2012-03-07 03:39:00,104.057
2012-03-07 03:40:00,105.801
2012-03-07 03:41:00,102.771
2012-03-07 03:42:00,103.67
2012-03-07 03:43:00,101.67
2012-03-07 03:44:00,106.17
2012-03-07 03:45:00,108.545
2012-03-07 03:46:00,106.20200000000001
2012-03-07 03:47:00,105.37799999999999
2012-03-07 03:48:00,100.335
2012-03-07 03:49:00,107.522
2012-03-07 03:50:00,102.061
2012-03-07 03:51:00,103.60799999999999
2012-03-07 03:52:00,104.441
2012-03-07 03:53:00,105.131
2012-03-07 03:54:00,104.758
2012-03-07 03:55:00,105.40700000000001
2012-03-07 03:56:00,103.037
2012-03-07 03:57:00,107.604
2012-03-07 03:58:00,105.615
2012-03-07 03:59:00,106.691
2012-03-07 04:00:00,105.68799999999999
2012-03-07 04:01:00,105.209
2012-03-07 04:02:00,107.855
2012-03-07 04:03:00,110.01899999999999
2012-03-07 04:04:00,104.301
2012-03-07 04:05:00,102.766
2012-03-07 04:06:00,106.213
2012-03-07 04:07:00,106.147
2012-03-07 04:08:00,105.125
2012-03-07 04:09:00,101.845
2012-03-07 04:10:00,101.635
2012-03-07 04:11:00,101.00399999999999
2012-03-07 04:12:00,105.094
2012-03-07 04:13:00,103.40799999999999
2012-03-07 04:14:00,109.94200000000001
2012-03-07 04:15:00,104.363
2012-03-07 04:16:00,104.12200000000001
2012-03-07 04:17:00,106.64399999999999
2012-03-07 04:18:00,104.632
2012-03-07 04:19:00,104.78200000000001
2012-03-07 04:20:00,107.211
2012-03-07 04:21:00,108.21799999999999
2012-03-07 04:22:00,105.552
2012-03-07 04:23:00,106.226
2012-03-07 04:24:00,105.32600000000001
2012-03-07 04:25:00,103.991
2012-03-07 04:26:00,109.471
2012-03-07 04:27:00,106.882
2012-03-07 04:28:00,108.148
2012-03-07 04:29:00,103.819
2012-03-07 04:30:00,105.105
2012-03-07 04:31:00,107.227
2012-03-07 04:32:00,105.206
2012-03-07 04:33:00,107.515
2012-03-07 04:34:00,106.40700000000001
2012-03-07 04:35:00,104.585
2012-03-07 04:36:00,104.212
2012-03-07 04:37:00,100.86399999999999
2012-03-07 04:38:00,103.994
2012-03-07 04:39:00,105.54799999999999
2012-03-07 04:40:00,110.26700000000001
2012-03-07 04:41:00,108.99600000000001
2012-03-07 04:42:00,106.914
2012-03-07 04:43:00,107.11200000000001
2012-03-07 04:44:00,102.101
2012-03-07 04:45:00,105.91799999999999
2012-03-07 04:46:00,104.834
2012-03-07 04:47:00,106.146
2012-03-07 04:48:00,103.804
2012-03-07 04:49:00,109.29299999999999
2012-03-07 04:50:00,105.698
2012-03-07 04:51:00,105.251
2012-03-07 04:52:00,110.323
2012-03-07 04:53:00,105.868
2012-03-07 04:54:00,103.258
2012-03-07 04:55:00,105.648
2012-03-07 04:56:00,106.33
2012-03-07 04:57:00,108.02600000000001
2012-03-07 04:58:00,102.69
2012-03-07 04:59:00,105.819
2012-03-07 05:00:00,104.095
2012-03-07 05:01:00,105.941
2012-03-07 05:02:00,105.665
2012-03-07 05:03:00,105.82700000000001
2012-03-07 05:04:00,105.61200000000001
2012-03-07 05:05:00,105.45
2012-03-07 05:06:00,105.766
2012-03-07 05:07:00,106.984
2012-03-07 05:08:00,104.988
2012-03-07 05:09:00,103.56700000000001
2012-03-07 05:10:00,103.94
2012-03-07 05:11:00,107.93299999999999
2012-03-07 05:12:00,107.819
2012-03-07 05:13:00,103.48100000000001
2012-03-07 05:14:00,107.544
2012-03-07 05:15:00,103.78299999999999
2012-03-07 05:16:00,109.96600000000001
2012-03-07 05:17:00,101.501
2012-03-07 05:18:00,104.67
2012-03-07 05:19:00,103.62
2012-03-07 05:20:00,108.389
2012-03-07 05:21:00,104.81299999999999
2012-03-07 05:22:00,104.421
2012-03-07 05:23:00,101.95299999999999
2012-03-07 05:24:00,104.62799999999999
2012-03-07 05:25:00,104.54700000000001
2012-03-07 05:26:00,101.008
2012-03-07 05:27:00,101.00299999999999
2012-03-07 05:28:00,102.867
2012-03-07 05:29:00,103.25299999999999
2012-03-07 05:30:00,104.319
2012-03-07 05:31:00,104.745
2012-03-07 05:32:00,104.818
2012-03-07 05:33:00,106.991
2012-03-07 05:34:00,104.382
2012-03-07 05:35:00,107.275
2012-03-07 05:36:00,104.303
2012-03-07 05:37:00,103.51799999999999
2012-03-07 05:38:00,102.87
2012-03-07 05:39:00,105.304
2012-03-07 05:40:00,106.43
2012-03-07 05:41:00,104.96
2012-03-07 05:42:00,106.527
2012-03-07 05:43:00,104.624
2012-03-07 05:44:00,107.641
2012-03-07 05:45:00,105.029
2012-03-07 05:46:00,105.79
2012-03-07 05:47:00,103.34
2012-03-07 05:48:00,103.75299999999999
2012-03-07 05:49:00,107.661
2012-03-07 05:50:00,105.23100000000001
2012-03-07 05:51:00,102.024
2012-03-07 05:52:00,105.823
2012-03-07 05:53:00,108.459
2012-03-07 05:54:00,108.079
2012-03-07 05:55:00,106.221
2012-03-07 05:56:00,104.865
2012-03-07 05:57:00,106.25399999999999
2012-03-07 05:58:00,108.42299999999999
2012-03-07 05:59:00,103.426
2012-03-07 06:00:00,105.304
2012-03-07 06:01:00,103.57700000000001
2012-03-07 06:02:00,106.3
2012-03-07 06:03:00,104.242
2012-03-07 06:04:00,106.51899999999999
2012-03-07 06:05:00,108.02
2012-03-07 06:06:00,107.041
2012-03-07 06:07:00,106.245
2012-03-07 06:08:00,102.397
2012-03-07 06:09:00,106.229
2012-03-07 06:10:00,104.928
2012-03-07 06:11:00,109.96
2012-03-07 06:12:00,107.883
2012-03-07 06:13:00,104.064
2012-03-07 06:14:00,105.309
2012-03-07 06:15:00,100.80799999999999
2012-03-07 06:16:00,109.60799999999999
2012-03-07 06:17:00,104.03299999999999
2012-03-07 06:18:00,105.609
2012-03-07 06:19:00,104.09299999999999
2012-03-07 06:20:00,104.586
2012-03-07 06:21:00,106.352
2012-03-07 06:22:00,101.604
2012-03-07 06:23:00,103.927
2012-03-07 06:24:00,101.273
2012-03-07 06:25:00,109.697
2012-03-07 06:26:00,104.15100000000001
2012-03-07 06:27:00,103.20700000000001
2012-03-07 06:28:00,106.616
2012-03-07 06:29:00,104.95299999999999
2012-03-07 06:30:00,109.29700000000001
2012-03-07 06:31:00,105.434
2012-03-07 06:32:00,106.92
2012-03-07 06:33:00,105.51899999999999
2012-03-07 06:34:00,107.26700000000001
2012-03-07 06:35:00,107.973
2012-03-07 06:36:00,106.319
2012-03-07 06:37:00,103.773
2012-03-07 06:38:00,103.33
2012-03-07 06:39:00,104.573
2012-03-07 06:40:00,106.493
2012-03-07 06:41:00,104.376
2012-03-07 06:42:00,107.43299999999999
2012-03-07 06:43:00,104.89200000000001
2012-03-07 06:44:00,109.84899999999999
2012-03-07 06:45:00,107.152
2012-03-07 06:46:00,103.29299999999999
2012-03-07 06:47:00,104.447
2012-03-07 06:48:00,104.319
2012-03-07 06:49:00,107.193
2012-03-07 06:50:00,103.03399999999999
2012-03-07 06:51:00,105.84700000000001
2012-03-07 06:52:00,105.557
2012-03-07 06:53:00,111.01700000000001
2012-03-07 06:54:00,103.98200000000001
2012-03-07 06:55:00,107.854
2012-03-07 06:56:00,102.288
2012-03-07 06:57:00,103.182
2012-03-07 06:58:00,103.854
2012-03-07 06:59:00,105.007
2012-03-07 07:00:00,110.71
2012-03-07 07:01:00,106.43299999999999
2012-03-07 07:02:00,106.949
2012-03-07 07:03:00,103.579
2012-03-07 07:04:00,105.62
2012-03-07 07:05:00,107.20200000000001
2012-03-07 07:06:00,108.994
2012-03-07 07:07:00,105.53200000000001
2012-03-07 07:08:00,110.633
2012-03-07 07:09:00,107.976
2012-03-07 07:10:00,103.82799999999999
2012-03-07 07:11:00,101.178
2012-03-07 07:12:00,106.99700000000001
2012-03-07 07:13:00,100.25200000000001
2012-03-07 07:14:00,107.887
2012-03-07 07:15:00,104.369
2012-03-07 07:16:00,108.193
2012-03-07 07:17:00,105.581
2012-03-07 07:18:00,103.05
2012-03-07 07:19:00,106.165
2012-03-07 07:20:00,103.741
2012-03-07 07:21:00,102.961
2012-03-07 07:22:00,101.868
2012-03-07 07:23:00,106.054
2012-03-07 07:24:00,104.667
2012-03-07 07:25:00,104.03200000000001
